Source	Precision	Recall	F1	Average Matching Quality	Overall Matching Quality	Integrated Matching Quality	Overall Matching Quality (IMQ-based)	Integrated Recall Quality	F1Q	Distance de Wasserstein 1D	Nombre d'entrées vérité terrain	Nombre d'entrées prédites	Nombre d'appariements
page_03_03	1.0000	1.0000	1.0000	0.8997	0.9642	0.8996	0.9308	0.8997	0.8996	0.1003	25	25	25
page_03_02	1.0000	1.0000	1.0000	0.9404	0.9793	0.9403	0.9594	0.9404	0.9404	0.0596	25	25	25
page_03_01	1.0000	1.0000	1.0000	0.9441	0.9807	0.9441	0.9620	0.9441	0.9441	0.0559	25	25	25
page_10_02	1.0000	1.0000	1.0000	0.8778	0.9556	0.8777	0.9150	0.8778	0.8777	0.1222	23	23	23
page_10_03	1.0000	1.0000	1.0000	0.8179	0.9309	0.8177	0.8707	0.8179	0.8178	0.1821	23	23	23
page_10_01	1.0000	1.0000	1.0000	0.8828	0.9576	0.8827	0.9187	0.8828	0.8827	0.1172	23	23	23
page_04_03	1.0000	1.0000	1.0000	0.9616	0.9869	0.9615	0.9740	0.9616	0.9615	0.0384	19	19	19
page_04_01	1.0000	1.0000	1.0000	0.9796	0.9931	0.9795	0.9863	0.9796	0.9795	0.0204	19	19	19
page_04_02	1.0000	1.0000	1.0000	0.9767	0.9921	0.9766	0.9843	0.9767	0.9766	0.0233	19	19	19
page_02_02_corpusense_boxes	1.0000	0.9130	0.9545	0.9928	0.9670	0.9064	0.9358	0.9065	0.9064	0.0072	23	21	21
page_02_01_vt	1.0000	1.0000	1.0000	0.9554	0.9847	0.9553	0.9698	0.9554	0.9553	0.0446	23	23	23
page_02_03_corpusense_raw	1.0000	0.9565	0.9778	0.9540	0.9697	0.9124	0.9406	0.9125	0.9125	0.0460	23	22	22
page_05_01	1.0000	1.0000	1.0000	0.8546	0.9463	0.8544	0.8981	0.8546	0.8545	0.1454	19	19	19
page_05_02	1.0000	1.0000	1.0000	0.8659	0.9509	0.8657	0.9063	0.8659	0.8658	0.1341	19	19	19
page_05_03	1.0000	1.0000	1.0000	0.8463	0.9429	0.8461	0.8919	0.8463	0.8462	0.1537	19	19	19
