Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0	Babin-Chevaye	Babin-Chevaye	[8, 582, 719]	[8, 582, 719]	0.0000	1.0000
1	1	Bachelet (Alexandre)	Bachelet (Alexandre)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
2	2	Barthou (Louis)	Barthou (Louis), ministre de la guerre	[2]	[2]	0.2170	0.7830
3	3	Barthou (Louis)	Barthou (Louis)	[394, 396, 397, 399, 1211, 1237]	[394, 396, 397, 399, 1211, 1237]	0.0000	1.0000
4	4	Bazile (Gaston)	Bazile (Gaston)	[1560]	[1560]	0.0000	1.0000
5	5	Beaumont (Jean)	Beaumont (Jean)	[477, 1087, 1130, 1287, 1667, 1674, 1708]	[477, 1087, 1130, 1287, 1667, 1674, 1708]	0.0000	1.0000
6	6	Bénard (Léonus)	Bénard (Léonus)	[146, 148, 832]	[146, 148, 832]	0.0000	1.0000
7	7	Bender	Bender	[966]	[966]	0.0000	1.0000
8	8	Bérard (Léon)	Bérard (Léon), garde des sceaux, ministre de la justice	[35, 132, 172, 213, 270, 272, 326, 342, 344, 349, 358, 365, 372, 374, 415, 421, 422, 451, 452, 453, 454, 455, 461, 462, 958, 982, 1285, 1053, 1054, 1064, 1066, 1067, 1593, 1091, 1389, 1285, 1549, 1552, 1747, 1586, 1590, 1762, 1765, 1766, 1772, 1773, 1775, 1816]	[35, 132, 172, 213, 270, 272, 326, 342, 344, 349, 358, 365, 372, 374, 415, 421, 422, 451, 452, 453, 454, 455, 461, 462, 958, 982, 1053, 1054, 1064, 1066, 1067, 1091, 1389, 1285, 1549, 1552, 1747, 1586, 1590, 1762, 1765, 1766, 1772, 1773, 1775, 1816]	0.3212	0.6788
9	9	Bérard (Victor)	Bérard (Victor)	[229, 233, 286, 579, 581, 628, 643, 685, 704, 959, 1032, 1220, 1267, 1415]	[229, 233, 286, 579, 581, 628, 643, 685, 704, 959, 1032, 1220, 1267, 1415]	0.0000	1.0000
10	10	Bérenger (Henry)	Bérenger (Henry)	[148, 681, 754, 865, 1010, 1012, 1243, 1249, 1363, 1372, 1491]	[148, 681, 754, 865, 1010, 1012, 1243, 1249, 1363, 1372, 1491]	0.0000	1.0000
11	11	Bergeon (Benoît-Charles)	Bergeon (Benoît-Charles)	[517, 520, 521, 522, 523, 1517, 1695, 1696]	[517, 520, 521, 522, 523, 1517, 1695, 1696]	0.0000	1.0000
12	12	Betoulle (Léon)	Betoulle (Léon)	[317, 508, 603, 896, 616, 1099, 1764]	[317, 508, 603, 896, 616, 1099, 1764]	0.0000	1.0000
13	13	Blaignan (Raymond)	Blaignan (Raymond)	[112, 448, 449, 539, 1225]	[112, 448, 449, 539, 1225]	0.0000	1.0000
14	14	Blaisot	Blaisot, ministre de la santé publique	[651, 654, 656, 658, 662, 1658, 1660, 1661, 1662, 1663, 1665]	[651, 654, 656, 658, 662, 1658, 1660, 1661, 1662, 1663, 1665]	0.3444	0.6556
15	15	Blois (comte Louis de)	Blois (comte Louis de)	[72, 402, 569, 593, 594, 622, 709, 901, 958, 1062, 1151, 1217, 1221, 1268, 1273, 1355, 1361, 1695]	[72, 402, 569, 593, 594, 622, 709, 901, 958, 1062, 1151, 1217, 1221, 1268, 1273, 1355, 1361, 1695]	0.0000	1.0000
16	16	Boivin-Champeaux	Boivin-Champeaux	[1, 344, 376, 379, 406, 784, 1590]	[1, 344, 376, 379, 406, 784]	0.0556	0.9444
17	17	Bompard (Maurice)	Bompard (Maurice)	[754]	[754]	0.0000	1.0000
18	18	Bon	Bon	[1417]	[1417]	0.0000	1.0000
19	19	Borgeot (Charles)	Borgeot (Charles)	[460, 738, 809, 863, 1292, 1330, 1333, 1362, 1631, 1732, 1678]	[460, 738, 809, 863, 1292, 1330, 1333, 1362, 1631, 1732, 1678]	0.0000	1.0000
20	20	Borrel (Antoine)	Borrel (Antoine)	[1418]	[1418]	0.0000	1.0000
21	21	Bosc (Jean)	Bosc (Jean)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
22	22	Bourdeaux (Henry)	Bourdeaux (Henry)	[799, 1066]	[799, 738, 1066]	0.0882	0.9118
