Source	Precision	Recall	F1	Average Matching Quality	Overall Matching Quality	Integrated Matching Quality	Overall Matching Quality (IMQ-based)	Nombre d'entrées vérité terrain	Nombre d'entrées prédites	Nombre d'appariements
page_03_03	1.0000	1.0000	1.0000	0.8997	0.9642	0.8996	0.9308	25	25	25
page_03_02	1.0000	1.0000	1.0000	0.9404	0.9793	0.9403	0.9594	25	25	25
page_03_01	1.0000	1.0000	1.0000	0.9441	0.9807	0.9441	0.9620	25	25	25
page_10_02	1.0000	1.0000	1.0000	0.8778	0.9556	0.8777	0.9150	23	23	23
page_10_03	1.0000	1.0000	1.0000	0.8179	0.9309	0.8177	0.8707	23	23	23
page_10_01	1.0000	1.0000	1.0000	0.8828	0.9576	0.8827	0.9187	23	23	23
page_04_03	1.0000	1.0000	1.0000	0.9616	0.9869	0.9615	0.9740	19	19	19
page_04_01	1.0000	1.0000	1.0000	0.9796	0.9931	0.9795	0.9863	19	19	19
page_04_02	1.0000	1.0000	1.0000	0.9767	0.9921	0.9766	0.9843	19	19	19
page_02_02_corpusense_boxes	1.0000	0.9130	0.9545	0.9928	0.9670	0.9064	0.9358	23	21	21
page_02_01_vt	1.0000	1.0000	1.0000	0.9554	0.9847	0.9553	0.9698	23	23	23
page_02_03_corpusense_raw	1.0000	0.9565	0.9778	0.9540	0.9697	0.9124	0.9406	23	22	22
page_05_01	1.0000	1.0000	1.0000	0.8546	0.9463	0.8544	0.8981	19	19	19
page_05_02	1.0000	1.0000	1.0000	0.8659	0.9509	0.8657	0.9063	19	19	19
page_05_03	1.0000	1.0000	1.0000	0.8463	0.9429	0.8461	0.8919	19	19	19
