Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0					1.0000	0.0000
1	1					1.0000	0.0000
2	2					1.0000	0.0000
3	3					1.0000	0.0000
4	4					1.0000	0.0000
5	5					1.0000	0.0000
6	6					1.0000	0.0000
7	7					1.0000	0.0000
8	8					1.0000	0.0000
9	9					1.0000	0.0000
10	10					1.0000	0.0000
11	11					1.0000	0.0000
12	12					1.0000	0.0000
13	13					1.0000	0.0000
14	14					1.0000	0.0000
15	15					1.0000	0.0000
16	16					1.0000	0.0000
17	17					1.0000	0.0000
18	18					1.0000	0.0000
19	19					1.0000	0.0000
20	20					1.0000	0.0000
21	21					1.0000	0.0000
