Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0	Babin-Chevaye	BABIN-CHEVAYE	[8, 582, 719]	[]	0.5000	0.5000
1	1	Bachelet (Alexandre)	BACHELET (Alexandre)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
2	2	Barthou (Louis)	BARTHOU (Louis)	[2]	[]	0.5000	0.5000
4	3	Bazile (Gaston)	BAZILE (Gaston)	[1560]	[]	0.5000	0.5000
5	4	Beaumont (Jean)	BEAUMONT (Jean)	[477, 1087, 1130, 1287, 1667, 1674, 1708]	[]	0.5000	0.5000
6	5	Bénard (Léonus)	BÉNARD (Léon)	[146, 148, 832]	[]	0.5357	0.4643
7	6	Bender	BENDER	[966]	[]	0.5000	0.5000
8	7	Bérard (Léon)	BÉRARD (Léon)	[35, 132, 172, 213, 270, 272, 326, 342, 344, 349, 358, 365, 372, 374, 415, 421, 422, 451, 452, 453, 454, 455, 461, 462, 958, 982, 1053, 1054, 1064, 1066, 1067, 1091, 1285, 1389, 1549, 1552, 1586, 1590, 1593, 1747, 1762, 1765, 1766, 1772, 1773, 1775, 1816]	[]	0.5000	0.5000
9	8	Bérard (Victor)	BÉRARD (Victor)	[229, 233, 286, 579, 581, 628, 643, 685, 704, 959, 1032, 1220, 1267, 1415]	[]	0.5000	0.5000
10	9	Bérenger (Henry)	BÉRÉNGER (Henry)	[148, 681, 754, 865, 1010, 1012, 1243, 1249, 1363, 1372, 1491]	[]	0.5312	0.4688
11	10	Bergeon (Benoît-Charles)	BERGEON (Benoît-Charles)	[517, 520, 521, 522, 523, 1517, 1695, 1696]	[]	0.5000	0.5000
12	11	Betoulle (Léon)	BETOULLE (Léon)	[317, 508, 603, 616, 896, 1099, 1764]	[]	0.5000	0.5000
13	20	Blaignan (Raymond)	BLAIGNAN (Raymond)	[112, 448, 449, 539, 1225]	[]	0.5000	0.5000
14	12	Blaisot	BLAISOT	[651, 654, 656, 658, 662, 1658, 1660, 1661, 1662, 1663, 1665]	[]	0.5000	0.5000
15	13	Blois (comte Louis de)	BLOIS (comte Louis de)	[72, 402, 569, 593, 594, 622, 709, 901, 958, 1062, 1151, 1217, 1221, 1268, 1273, 1355, 1361, 1695]	[]	0.5000	0.5000
16	14	Boivin-Champeaux	BOIVIN-CHAMPÉAUX	[1, 344, 376, 379, 406, 784, 1590]	[]	0.5312	0.4688
17	15	Bompard (Maurice)	BOMpard (Maurice)	[754]	[]	0.5000	0.5000
18	16	Bon	BON	[1417]	[]	0.5000	0.5000
19	17	Borgeot (Charles)	BORGEOT (Charles)	[460, 738, 809, 863, 1292, 1330, 1333, 1362, 1631, 1678, 1732]	[]	0.5000	0.5000
20	18	Borrel (Antoine)	BORREL (Antoine)	[1418]	[]	0.5000	0.5000
21	19	Bosc (Jean)	BOSC (Jean)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
22	21	Bourdeaux (Henry)	BOURDEAUX (Henry)	[799, 1066]	[]	0.5000	0.5000
