Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Ratcliff_Obershelp_Distance	IoU_Distance	Combined_Distance	Ratcliff_Obershelp_Quality	IoU_Quality	Combined_Quality
0	0	Babin-Chevaye	Babin-Chevaye	[8, 582, 719]	[8, 582, 719]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
1	1	Bachelet (Alexandre)	Bachelet (Alexandre)	<renvoi d'index>	<renvoi d'index>	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
3	2	Barthou (Louis)	Barthou (Louis)	[394, 396, 397, 399, 1211, 1237]	[2, 394, 396, 397, 399, 1211, 1237]	0.0000	0.1429	0.0714	1.0000	0.8571	0.9286
4	3	Bazile (Gaston)	Bazile (Gaston)	[1560]	[1560]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
5	4	Beaumont (Jean)	Beaumont (Jean)	[477, 1087, 1130, 1287, 1667, 1674, 1708]	[477, 1087, 1130, 1287, 1667, 1674, 1708]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
6	5	Bénard (Léonus)	Bénard (Léon)	[146, 148, 832]	[146, 148, 832]	0.0714	0.0000	0.0357	0.9286	1.0000	0.9643
7	6	Bender	Bender	[966]	[966]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
8	7	Bérard (Léon)	Bérard (Léon)	[35, 132, 172, 213, 270, 272, 326, 342, 344, 349, 358, 365, 372, 374, 415, 421, 422, 451, 452, 453, 454, 455, 461, 462, 958, 982, 1285, 1053, 1054, 1064, 1066, 1067, 1593, 1091, 1389, 1285, 1549, 1552, 1747, 1586, 1590, 1762, 1765, 1766, 1772, 1773, 1775, 1816]	[35, 132, 172, 213, 270, 272, 326, 342, 344, 349, 358, 365, 372, 374, 415, 421, 422, 451, 452, 453, 454, 455, 461, 462, 958, 982, 1053, 1054, 1064, 1066, 1067, 1091, 1389, 1285, 1549, 1552, 1747, 1586, 1590, 1762, 1765, 1766, 1772, 1773, 1775, 1816]	0.0000	0.0213	0.0106	1.0000	0.9787	0.9894
10	8	Bérenger (Henry)	Bérenger (Henry)	[148, 681, 754, 865, 1010, 1012, 1243, 1249, 1363, 1372, 1491]	[148, 681, 754, 865, 1010, 1012, 1243, 1249, 1363, 1372, 1491]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
11	9	Bergeon (Benoît-Charles)	Bergeon (Benoît-Charles)	[517, 520, 521, 522, 523, 1517, 1695, 1696]	[517, 520, 521, 522, 523, 1517, 1695, 1696]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
12	10	Betoulle (Léon)	Betoulle (Léon)	[317, 508, 603, 896, 616, 1099, 1764]	[317, 508, 603, 616, 1099, 1764]	0.0000	0.1429	0.0714	1.0000	0.8571	0.9286
13	11	Blaignan (Raymond)	Blaignan (Raymond)	[112, 448, 449, 539, 1225]	[112, 448, 449, 539, 1225]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
14	12	Blaisot	Blaisot	[651, 654, 656, 658, 662, 1658, 1660, 1661, 1662, 1663, 1665]	[651, 654, 656, 658, 662, 1658, 1660, 1661, 1662, 1663, 1665]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
15	13	Blois (comte Louis de)	Blois (comte Louis de)	[72, 402, 569, 593, 594, 622, 709, 901, 958, 1062, 1151, 1217, 1221, 1268, 1273, 1355, 1361, 1695]	[72, 402, 569, 593, 594, 622, 709, 901, 958, 1062, 1151, 1217, 1221, 1268, 1273, 1355, 1361, 1695]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
16	14	Boivin-Champeaux	Boivin-Champeaux	[1, 344, 376, 379, 406, 784, 1590]	[1, 344, 376, 379, 406, 784]	0.0000	0.1429	0.0714	1.0000	0.8571	0.9286
17	15	Bompard (Maurice)	Bompard (Maurice)	[754]	[754]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
18	16	Bon	Bon	[1417]	[1417]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
19	17	Borgeot (Charles)	Borgeot (Charles)	[460, 738, 809, 863, 1292, 1330, 1333, 1362, 1631, 1732, 1678]	[460, 738, 809, 863, 1292, 1330, 1333, 1362, 1631, 1732, 1678]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
20	18	Borrel (Antoine)	Borrel (Antoine)	[1418]	[1418]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
21	19	Bosc (Jean)	Bosc (Jean)	<renvoi d'index>	<renvoi d'index>	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
22	20	Bourdeaux (Henry)	Bourdeaux (Henry)	[799, 1066]	[799, 1066]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
2		Barthou (Louis)		[2]		FN	FN	FN	FN	FN	FN
9		Bérard (Victor)		[229, 233, 286, 579, 581, 628, 643, 685, 704, 959, 1032, 1220, 1267, 1415]		FN	FN	FN	FN	FN	FN
