Source	Precision	Recall	F1	Average Matching Quality	Overall Matching Quality	Nombre d'entrées vérité terrain	Nombre d'entrées prédites	Nombre d'appariements
page_03_03	1.0000	1.0000	1.0000	0.8997	0.9642	25	25	25
page_03_02	1.0000	1.0000	1.0000	0.9404	0.9793	25	25	25
page_03_01	1.0000	1.0000	1.0000	0.9441	0.9807	25	25	25
page_10_02	1.0000	1.0000	1.0000	0.8778	0.9556	23	23	23
page_10_03	1.0000	1.0000	1.0000	0.8179	0.9309	23	23	23
page_10_01	1.0000	1.0000	1.0000	0.8828	0.9576	23	23	23
page_04_03	1.0000	1.0000	1.0000	0.9616	0.9869	19	19	19
page_04_01	1.0000	1.0000	1.0000	0.9796	0.9931	19	19	19
page_04_02	1.0000	1.0000	1.0000	0.9767	0.9921	19	19	19
page_02_02_corpusense_boxes	1.0000	0.9130	0.9545	0.9928	0.9670	23	21	21
page_02_01_vt	1.0000	1.0000	1.0000	0.9554	0.9847	23	23	23
page_02_03_corpusense_raw	1.0000	0.9565	0.9778	0.9540	0.9697	23	22	22
page_05_01	1.0000	1.0000	1.0000	0.8546	0.9463	19	19	19
page_05_02	1.0000	1.0000	1.0000	0.8659	0.9509	19	19	19
page_05_03	1.0000	1.0000	1.0000	0.8463	0.9429	19	19	19
